path,owner,wave,kind,notes
data/AFW360_HH_GNB_2021_manifest.csv,WP15,3,data,
pipeline/reconcile.R,WP16,3,code,
pipeline/R/reconcile.R,WP16,3,code,
pipeline/tests/testthat/test-reconcile.R,WP16,3,code,
.docs/transition/contract/label_triage.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
.docs/transition/contract/codes.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
.docs/transition/contract/legacy_overrides.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
.docs/transition/contract/legacy_national_columns.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
.docs/transition/contract/tab_plan.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
.docs/transition/contract/expected_counts.csv,WP99,1,seed,"Edited only by WP99, and only when the user flipped a hard case at G0. Frozen at G1."
pipeline/acceptance/wpNN_*.R,VER,all,glob,"One acceptance script per package, written by that package's verifier; one report per attempt. WP17 is a verifier-only package."
.docs/transition/reports/WPNN-verifier-v*.md,VER,all,glob,"One acceptance script per package, written by that package's verifier; one report per attempt. WP17 is a verifier-only package."
.docs/transition/reports/WPNN-implementer*.md,WPNN,all,glob,"Each package's own implementer and patch reports (-A, -B for WP02 stages; -pK for patches)."
.docs/transition/STATUS.md,INT,all,file,Written by integrators only.
.docs/transition/reports/WAVE*-integration.md,INT,all,file,Written by integrators only.
.docs/transition/reports/GATE-G*.md,INT,all,file,Written by integrators only.
.docs/transition/reports/FINAL-validation-findings.csv,INT,all,file,Written by integrators only.
.docs/transition/reports/FINAL-reconciliation.md,INT,all,file,Written by integrators only.
.docs/transition/reports/FINAL-reconciliation-cells.csv,INT,all,file,Written by integrators only.
.docs/transition/decisions.qmd,INT,all,partial,"Only the Status and User note lines of the hard cases, when recording gate G0."
metadata/CHANGELOG.md (append),INT,all,append,The integrator appends changelog lines under 0.1.0; it never rewrites existing lines. WP03 creates the file.
